Ime,Država,Spodnja višina [m],Zgornja višina [m],Dolžina prog [km],Dolžina črnih prog [km],Dolžina modrih prog [km],Število žičnic,Cena [€]
Rinderberg/Saanerslochgrat/Horneggli – Zweisimmen/Saanenmöser/Schönried/St. Stephan,Švica,948,2011,88.9,4,64.3,16,89
Brigels/Waltensburg/Andiast,Švica,1102,2418,40,3,11,10,69
Plose – Brixen (Bressanone),Italija,1039,2505,42.5,13.5,19.5,7,68
Bormio – Cima Bianca,Italija,1200,3017,50,12,16,14,59
Almenwelt Lofer,Avstrija,640,1670,46,2,32,10,62
Les Sybelles – Le Corbier/La Toussuire/Les Bottières/St Colomban des Villards/St Sorlin/St Jean d’Arves,Francija,1100,2620,310,21.7,71.3,68,58.10
Hintertux Glacier (Hintertuxer Gletscher),Avstrija,1500,3250,64,11.7,17.2,20,76
Bergeralm – Steinach am Brenner,Avstrija,1048,2180,29,9,9.5,7,57.30
Schwemmalm,Italija,1505,2625,27.4,5.7,6.3,8,54
Galibier Thabor – Valmeinier/Valloire,Francija,1430,2750,160,15,60,30,52.30
Val Cenis – Lanslevillard/Lanslebourg/Termignon,Francija,1300,2800,125,10,73,29,48.50
Vars/Risoul – La Forêt Blanche,Francija,1650,2750,185,20,75,34,55
Santa Caterina Valfurva,Italija,1722,2880,20.5,3.6,1.4,8,59
Filzmoos,Avstrija,970,1591,20,1,9,8,68
Le Grand Domaine – Valmorel/Doucy/Celliers/St François Longchamp,Francija,1250,2403,165,15,115,46,57
Pitztal Glacier (Pitztaler Gletscher),Avstrija,2685,3440,40,2,8,7,75
Riesneralm – Donnersbachwald,Avstrija,973,1820,35.2,3,20.2,8,56
Hoch-Ybrig – Unteriberg/Oberiberg,Švica,1040,1831,50,5,15,12,63
Ehrwalder Alm – Ehrwald,Avstrija,1112,1923,27.5,2,18.1,7,68
Stoos – Fronalpstock/Klingenstock,Švica,1300,1935,35,10,4,8,62
Alpe Cermis – Cavalese,Italija,860,2250,24,5,10,7,69
Rauriser Hochalmbahnen – Rauris,Avstrija,950,2175,32.5,5,15,10,61
Rosskopf (Monte Cavallo) – Sterzing (Vipiteno),Italija,960,2120,20,1,6,3,59
Lauchernalp – Lötschental,Švica,1403,3091,38,8,17,6,Ni podatka
Les Contamines/Hauteluce,Francija,1164,2437,120,20,40,24,52.50
Les 7 Laux – Prapoutel/Le Pleynet/Pipay,Francija,1350,2400,120,38,46,22,41
Espace Villard Corrençon – Villard-de-Lans/Corrençon-en-Vercors,Francija,1050,2050,125,25,50,19,42
Espace Lumière – Pra Loup/Val d’Allos,Francija,1608,2576,180,30.5,56,36,47
La Clusaz/Manigod,Francija,1050,2485,125,16,67,49,53
Garmisch-Classic – Garmisch-Partenkirchen,Nemčija,740,2050,40,10,12,18,64
Zoncolan – Ravascletto/Sutrio,Italija,900,1970,24.1,4,9,11,44
Bad Kleinkirchheim,Avstrija,1087,2055,103,8,11,24,67
Meiringen-Hasliberg,Švica,1065,2433,60,6,20,13,66
Brandnertal – Brand/Bürserberg,Avstrija,904,2000,47.6,1.3,23,15,Ni podatka
Aprica,Italija,1162,2270,50,7.7,26.9,16,54
Christlum – Achenkirch,Avstrija,950,1800,27,5,6,10,65
Schilthorn – Mürren/Lauterbrunnen,Švica,796,2970,54,12,19,16,84
Flachauwinkl/Kleinarl (Shuttleberg),Avstrija,1000,1980,28,2,19,10,79
Ifen,Avstrija,1270,2030,24.7,3.7,13.1,4,65.80
Kappl,Avstrija,1180,2690,42,8,12,10,63
Sulden am Ortler (Solda all'Ortles),Italija,1900,3250,44,14,17,11,58
Söllereck – Oberstdorf,Nemčija,820,1450,14,0.7,7.9,7,53.90
Val Senales Glacier (Schnalstaler Gletscher),Italija,2011,3212,42,14,10,11,62
Kaunertal Glacier (Kaunertaler Gletscher),Avstrija,2150,3113,55,10,22.5,8,70
Nebelhorn – Oberstdorf,Nemčija,828,2224,12.9,5,2.8,6,65.80
Catinaccio/Ciampedie – Vigo di Fassa/Pera di Fassa,Italija,1322,2095,13.5,0.9,6.4,6,73
Sudelfeld – Bayrischzell,Nemčija,850,1563,31.2,4.8,7.7,14,51
Diedamskopf – Schoppernau,Avstrija,820,2060,40,9,13,9,64
Grosseck/Speiereck – Mauterndorf/St. Michael,Avstrija,1095,2400,50,7,26,10,58
Oberjoch (Bad Hindelang) – Iseler,Nemčija,1130,1559,32,2,6,5,49.80
Madrisa (Davos Klosters),Švica,1142,2602,22.9,7.5,6.2,9,76
Gargellen,Avstrija,1423,2300,28.2,3,19.2,8,Ni podatka
Dévoluy – Superdévoluy/La Joue du Loup,Francija,1500,2500,100,10,55,20,43.50
Disentis,Švica,1227,2833,60,10,20,12,68
Les Houches/Saint-Gervais – Prarion/Bellevue (Chamonix),Francija,1000,1900,55,5,25,15,57
Meran 2000,Italija,1609,2350,40,3,12,8,55.50
Isola 2000,Francija,1800,2603,120,10,75,20,42
Brévent/Flégère (Chamonix),Francija,1030,2525,56,20,11,17,71
Hörnerbahn – Bolsterlang,Nemčija,894,1665,17,2,8,5,53
Lachtal,Avstrija,1600,2222,26.2,3,7.2,10,57
Les Orres,Francija,1550,2720,100,10,30,17,43.50
Orcières Merlette 1850,Francija,1850,2725,100,14,18,26,45
Bardonecchia,Italija,1312,2800,100,8,54,22,48
Reinswald (San Martino in Sarentino),Italija,1570,2460,22,2,3,4,49.50
Vogel – Bohinj,Slovenija,569,1800,22,0,9.5,9,44
Grossglockner Heiligenblut,Avstrija,1301,2902,55,1,20,11,Ni podatka
Chamrousse,Francija,1400,2250,90,20,25,16,42.50
Le Grand Bornand,Francija,1000,2100,90,9,57,25,46.70
Auron (Saint-Etienne-de-Tinée),Francija,1600,2450,135,32,58,16,42
Patscherkofel – Innsbruck-Igls,Avstrija,1009,1965,19,4,5,6,49
Gemsstock – Andermatt,Švica,1444,2961,31,17,0,4,95
Sportgastein,Avstrija,1585,2650,18.2,1.5,3.5,3,76.50
Grüsch Danusa,Švica,600,1800,31,6,8,6,65
Hoch-Imst – Imst,Avstrija,1053,2026,10.3,1.9,2.6,4,44.30
Brauneck – Lenggries/Wegscheid,Nemčija,700,1712,30.7,6.5,3.5,15,51
Rosshütte – Seefeld,Avstrija,1230,2064,19.1,1.9,11.2,12,58
Mönichkirchen/Mariensee,Avstrija,865,1432,13.5,2,5.5,7,Ni podatka
Diavolezza/Lagalb,Švica,2093,3006,35,8,0,5,Ni podatka
Zuoz – Pizzet/Albanas,Švica,1720,2465,15,3,9,5,Ni podatka
Savognin,Švica,1168,2713,73.5,3,32.5,12,Ni podatka
Mondolè Ski – Artesina/Frabosa Soprana/Prato Nevoso,Italija,807,2085,105.3,11.6,42.7,25,37
Pila,Italija,1540,2740,70,8,11,12,55
Rifflsee,Avstrija,1640,2800,26,7,6,6,70
