Ime,Država,Spodnja višina [m],Zgornja višina [m],Dolžina prog [km],Dolžina črnih prog [km],Dolžina modrih prog [km],Število žičnic,Cena [€]
Col de Marcieu – Saint Bernard du Touvet,Francija,993,1350,3.2,0,2,3,16
Col de Turini/Camp d'Argent,Francija,1740,1920,3,0,2,3,13
St. Martin im Tennengebirge,Avstrija,955,1210,3,0,1,2,33
Eggiwil – Netschbühl,Švica,720,1020,3,0,2.5,Ni podatka,29
Gfellen – Entlebuch-Finsterwald,Švica,1025,1295,4.5,0,4.5,2,27
St. Antönien,Švica,1405,1656,3,0,2,2,Ni podatka
Rotecklift – Tobadill,Avstrija,1136,1307,3,0,2,Ni podatka,Ni podatka
Halblech,Nemčija,823,1043,3,0,2,Ni podatka,Ni podatka
Hochlitten – Riefensberg,Avstrija,1000,1200,3,0,1,4,38.50
Embach – Hörndl,Avstrija,1012,1296,3,0,2,2,31
Obersalzberg,Nemčija,795,945,3,0,2,5,25
Rienz – Toblach (Dobbiaco),Italija,1200,1410,3.9,0,1.4,3,52
Hinterreit,Avstrija,780,1200,3.7,0,2.7,3,44.50
Furtnerlifts – Rohr im Gebirge,Avstrija,800,927,3.9,0.9,1.5,3,Ni podatka
Bessans,Francija,1706,1842,3,0,3,2,12.50
Sauris di Sopra,Italija,1244,1420,2,1,0.1,2,44
Schmolllifte – Steinhaus am Semmering,Avstrija,840,1020,2,0.3,1.2,2,25
La Chia – Bulle,Švica,998,1309,3,0,3,Ni podatka,21
Obdach,Avstrija,899,1193,2.5,1.1,0.3,Ni podatka,30
Homberg,Švica,940,1093,3,0,3,Ni podatka,21
Gröllerkopf – Übersaxen,Avstrija,1000,1200,3,0,1.5,2,28
Oberegg – Skilift St. Anton,Švica,855,1110,3.5,0,3.5,Ni podatka,30
Mutten,Švica,1724,1863,3,0,3,Ni podatka,24
Münster-Geschinen,Švica,1363,1645,3,0,3,2,29
Spechtenseelift – Pürgg (Stainach-Pürgg),Avstrija,1100,1260,2.3,0.2,1.3,Ni podatka,26
Ribniška koča – Ribniško Pohorje,Slovenija,1368,1525,2.3,0.5,1.3,2,29
Predaia-Coredo,Italija,1250,1400,2,0.2,1,Ni podatka,32
Ribnica na Pohorju – Ribniško Pohorje,Slovenija,715,921,2.2,0.5,0.6,3,29
Palot (Pisogne),Italija,1060,1350,3,0,3,2,29
Degersheim – Fuchsacker,Švica,815,1034,3,0,3,3,34
Alberschwende – Brüggelekopf,Avstrija,720,1200,2.5,0,1,2,29
Lauenen,Švica,1240,1400,2.5,0,1.3,Ni podatka,39
Col du Granier,Francija,990,1399,2.5,0,1,4,11
Holzmeisterlifts Sommeralm,Avstrija,1240,1400,2.6,0,2,2,31
Kaiserau – Admont,Avstrija,1130,1370,2.5,0,1.6,5,36
Les Signaraux – La Motte d'Aveillans,Francija,1290,1430,2,0,0.5,Ni podatka,6
Les Giettes – Monthey,Švica,1280,1700,1.7,0,1,2,Ni podatka
Névache,Francija,1585,1707,2,0,1,2,Ni podatka
La Stass' – St. Pierre de Chartreuse,Francija,1350,1650,2.6,0,2,5,Ni podatka
Wildentallift,Avstrija,1120,1240,2,0,1.3,Ni podatka,Ni podatka
Le Tourchet,Francija,1007,1069,0.6,0,0.6,2,30
Rankenlift,Nemčija,1076,1247,2.5,0,1.5,2,14
Kessellifts – Inzell,Nemčija,715,810,2.2,0,1.2,3,19
Alpe Furx – Furx (Zwischenwasser),Avstrija,970,1200,2.5,0,2,3,22
Krähenberg – Sibratsgfäll,Avstrija,900,1100,2,0,1,2,Ni podatka
Val d'Oronaye – Larche,Francija,1700,1900,2,0,1,4,Ni podatka
Flensa – Seewis,Švica,1015,1185,2,0,2,Ni podatka,21
Gföllberglift – Holzgau,Avstrija,1108,1329,2.5,0,1.5,2,31
Lärchenhof – Erpfendorf,Avstrija,684,823,2,0,2,2,32
Hochwacht – Mosnang,Švica,720,835,1.8,0.4,0.8,Ni podatka,19
Grub-Kaien,Švica,845,1065,2,0,2,Ni podatka,32
Hahnbaum – St. Johann im Pongau,Avstrija,673,885,2.5,0,2.5,2,28
Druni KidsArena – Valtgeva,Švica,1447,1538,2,0,2,3,29
Riepenlift – Antholz-Mittertal (Anterselva di Mezzo),Italija,1127,1489,2,0,2,Ni podatka,35
Wenigzell,Avstrija,940,1120,2,0,2,3,30.50
Oberiberg,Švica,1080,1355,2.2,0,2.2,4,30
Skizentrum Pfronten,Nemčija,850,1232,2.8,0,0.6,6,32
Campo Blenio,Švica,1207,1578,2,0,2,3,34
Wexl Arena – St. Corona am Wechsel,Avstrija,840,1039,2,0,2,5,34
Heumöser – Ebnit (Dornbirn),Avstrija,1027,1205,2.5,0,2.5,2,24.60
Sonnenhanglifte – Unterjoch,Nemčija,1052,1167,2,0,1.4,2,19
Tèct/Zinols – Bergün,Švica,1371,1540,2,0,2,2,38
Karlift – Heiterwang,Avstrija,1050,1233,2,0,2,Ni podatka,28
Arabichl – Kirchberg am Wechsel,Avstrija,1350,1593,2,0,2,Ni podatka,Ni podatka
Gaugen – Greifenburg,Avstrija,1713,2000,2,0,0,Ni podatka,Ni podatka
Andolla Ski – Alpe Cheggio,Italija,1468,1553,2,0,2,Ni podatka,Ni podatka
Nagelköpfl – Piesendorf,Avstrija,785,900,2,0,0.5,3,24.20
Faltschen – Reichenbach,Švica,1032,1359,2.2,0,2.2,2,34
Le Reposoir/Châlet Neuf,Francija,1300,1600,2,0,2,2,15
La Poya – Vallorcine,Francija,1350,1550,2,0,1,4,20
Linden – Schindelberg,Švica,920,1088,2.2,0,2.2,3,35
Zlaim – Grundlsee,Avstrija,770,896,2,0,2,2,20
Nollen – Unterägeri,Švica,765,1046,2,0,2,2,21
Smučišče Kotlje,Slovenija,495,558,1,0,0.7,2,16
Chiapili di Sotto – Ceresole Reale,Italija,1673,1747,1,0,0.7,Ni podatka,15
Friherrenberg – Einsiedeln,Švica,918,1113,2,0,2,2,29
Pichl (Gsies),Italija,1229,1397,1.2,0.4,0.8,Ni podatka,27
Pirstingerkogellift Sommeralm,Avstrija,1290,1375,1.5,0,0.5,2,27
Forsteralm,Avstrija,680,825,2.8,0,2.8,3,28
Le Grand Plan – Col du Barioz,Francija,1365,1700,1.3,0.5,0.8,3,10
Grünberg – Obsteig,Avstrija,1030,1102,1.3,0,1,5,25
Brunni – Alpthal,Švica,1100,1200,1.3,0,1.1,Ni podatka,30
Roggenboden,Avstrija,955,1000,1.2,0,0.6,2,37.50
Les Égaux,Francija,951,1080,1.5,0,1,4,15.50
Petersbründl – St. Michael im Lungau,Avstrija,1050,1240,1,0,0.5,Ni podatka,24
Heiti – Gsteig bei Gstaad,Švica,1227,1370,1.3,0,0.7,Ni podatka,89
St. Hemma – Edelschrott,Avstrija,1007,1135,1.8,0,0.9,Ni podatka,20
Lammertallift,Avstrija,980,1100,1.4,0,0.7,Ni podatka,28.50
Schönfeld – Thomatal,Avstrija,1740,2100,1.8,0,1,2,32
Schneiderkopf – Buch,Avstrija,725,900,1.5,0,1,2,Ni podatka
Colle de Lys,Italija,1320,1410,1,0,0.2,Ni podatka,Ni podatka
Lana Lift – Anras,Avstrija,1260,1360,1,0,0.5,Ni podatka,Ni podatka
Viševnik na Pokljuki,Slovenija,1370,1575,1.1,0,0.5,2,Ni podatka
Monte Corno – Lusiana,Italija,1260,1400,1.2,0,0.7,Ni podatka,Ni podatka
Krpin – Begunje,Slovenija,600,720,1,0,0.5,Ni podatka,Ni podatka
Sonnenbichl – Bad Wiessee,Nemčija,832,1026,1.4,0.4,0,2,Ni podatka
Nussbaumerlifte – Hof bei Salzburg,Avstrija,756,895,1,0,0.2,2,Ni podatka
Falken,Nemčija,1443,1580,1.1,0,0.6,Ni podatka,Ni podatka
Monte Poieto – Aviatico,Italija,1197,1375,1.7,0,1.1,2,Ni podatka
Steinberg am Rofan,Avstrija,1050,1250,1,0,0.3,3,31
Bodental – Unterbergen (Ferlach),Avstrija,1010,1155,1,0,0.5,4,31
Sachrang,Nemčija,731,823,3,0,3,7,19
Hittisberg – Hittisau,Avstrija,800,1000,1.9,0,1,2,22
Jachenau – Mühle,Nemčija,776,867,1,0,1,Ni podatka,12
Sattelegg – Vorderthal/Einsiedeln-Willerzell,Švica,1180,1220,1,0,1,Ni podatka,21
Lüina – Airolo,Švica,1180,1250,1,0,1,2,23
Funes (Villnöss),Italija,1252,1498,1.1,0,1.1,Ni podatka,25
Hemberg,Švica,900,1193,1.5,0,1.5,2,29
Lessach,Avstrija,1210,1410,1,0,1,Ni podatka,24
Mathon,Avstrija,1450,1490,1,0,1,Ni podatka,24.50
Nocksteinlifte – Koppl,Avstrija,694,795,1,0,1,2,16
Zederhaus,Avstrija,1256,1390,1,0,1,Ni podatka,10
Vögelinsegg – Speicher,Švica,970,1030,1,0,1,Ni podatka,32
Griminitzen (Kirchbach),Avstrija,390,460,1,0,1,Ni podatka,14
Thalgauberg – Thalgau,Avstrija,770,900,1,0,1,Ni podatka,16
La Lorette – Bourg-Saint-Pierre,Švica,1550,1600,1,0,1,Ni podatka,16
Ötzlifte (Rabenkopf) – Kochel am See,Nemčija,650,860,1.6,0,1.2,3,25
Müsella – La Punt,Švica,1698,1787,1,0,1,2,37
St. Magdalena (Gsies/Valle di Casies),Italija,1444,1679,1.5,0,1.5,Ni podatka,28
Oberau (Wildschönau),Avstrija,930,995,1,0,1,2,37.50
Bacherleitn – Weißenbach bei Liezen,Avstrija,663,781,1.1,0,0,Ni podatka,21
Montmin,Francija,1110,1195,1.5,0,1.5,2,12
Mogno,Švica,1150,1275,1.5,0,1.2,2,17
Hapfere – Plaffeien,Švica,850,935,1,0,1,Ni podatka,21
Téléconthey – Mayens de Conthey,Švica,1281,1439,1,0,1,Ni podatka,21
Le Col du Feu – Lullin,Francija,1085,1175,1,0,1,Ni podatka,10
La Baitina,Italija,830,909,1,0,1,2,17
Ollomont,Italija,1381,1474,1,0,1,2,17
Kleinlobming,Avstrija,764,1000,1,0,0.2,2,30.50
Chuderhüsi – Röthenbach,Švica,1018,1091,1,0,1,Ni podatka,25
Grunholzlift – Au,Avstrija,835,951,1,0,1,2,33
Hätzingen – Loh,Švica,615,701,1,0,1,Ni podatka,15
Péra – Trun,Švica,920,1040,1.2,0,1.2,Ni podatka,25
Birkenlift/Geigenbühel,Avstrija,1167,1217,1.5,0,1.5,8,37
Dreieck – Glarus,Švica,513,682,1,0,1,Ni podatka,19
Hüttegglift – Weerberg,Avstrija,1250,1500,1.5,0,1.5,2,25
Knittellifte – Elbigenalp,Avstrija,1050,1220,2,0,1.5,3,28
Buchserberg-Malbun – Buchs,Švica,1379,1485,1.2,0,1.2,Ni podatka,19
Passo Forcora – Monte Cadrigna,Italija,1179,1304,1,0,1,Ni podatka,20
Schwellbrunn,Švica,1022,1084,1,0,1,Ni podatka,30
Gasse – Ridnaun,Italija,1386,1484,1.1,0,1.1,Ni podatka,18
Tristeli – St. Margrethenberg,Švica,1195,1447,1,0,1,Ni podatka,30
Poseka – Ravne na Koroškem,Slovenija,432,587,1.7,0,0,Ni podatka,17.50
Raunigwiese – Kolbnitz (Reisseck),Avstrija,626,703,1,0,1,Ni podatka,Ni podatka
Druckerhof – Unterach am Attersee,Avstrija,655,780,1,0,1,Ni podatka,Ni podatka
Ristolas,Francija,1600,1648,1,0,1,2,Ni podatka
Johnsbach (Admont),Avstrija,870,1005,1.2,0,1.2,Ni podatka,Ni podatka
Reithlift – Schwangau,Nemčija,830,950,1.1,0,0,Ni podatka,Ni podatka
Gais,Švica,937,1025,1,0,1,Ni podatka,Ni podatka
Neukirchen am Teisenberg (Teisendorf),Nemčija,710,830,1,0,1,Ni podatka,Ni podatka
Buchsteinlift – Reiflingviertel (St. Gallen),Avstrija,530,600,1,0,0,Ni podatka,Ni podatka
Wiesenhofer – Miesenbach bei Birkfeld,Avstrija,800,900,1,0,1,Ni podatka,Ni podatka
Malga Varena – Passo Lavazè,Italija,1769,1840,1.5,0,1.5,Ni podatka,Ni podatka
Senožeta,Slovenija,570,690,1.2,0,0.6,2,Ni podatka
Compedal – Assling,Avstrija,1312,1677,1.4,0,0,Ni podatka,Ni podatka
Heimenschwand – Buchholterberg,Švica,1005,1183,1,0,1,Ni podatka,Ni podatka
Birgitz,Avstrija,875,940,1,0,1,Ni podatka,Ni podatka
Montagne de Lure,Francija,1545,1650,1.1,0,1.1,2,Ni podatka
Parc de loisirs de l'Aigle – Lans en Vercors,Francija,1020,1087,1,0,1,2,Ni podatka
Tschardund – Nenzing,Avstrija,822,980,1.2,0,1.2,Ni podatka,Ni podatka
Lechnerberg,Avstrija,770,835,1.5,0,1.5,2,Ni podatka
Konradshüttle – Vils,Avstrija,922,1102,1,0,1,Ni podatka,Ni podatka
Oberwaldlifte – Faistenau,Avstrija,790,875,1.1,0,0.8,2,14
Kirchdorf,Avstrija,650,700,1,0,1,3,24.50
Urnäsch – Osteregg,Švica,850,1080,1.7,0,1.7,2,31
Survih – Samedan,Švica,1760,1912,1.5,0,1.5,3,41
Kolsassberg,Avstrija,750,810,1.5,0,1.5,2,24
Hochplett – Oberaschau,Avstrija,650,759,1.4,0,1.4,3,Ni podatka
Selfranga – Klosters,Švica,1186,1354,1.2,0,1.2,2,32
Feistritzsattel – Trattenbach,Avstrija,1100,1300,1.7,0,0,2,21
Schmiedhornlift – Wald (Faistenau),Avstrija,800,986,0.8,0.2,0.6,2,12
Ghöch,Švica,1000,1060,1,0,0.8,2,23
Pusterwald,Avstrija,1080,1212,0.5,0,0.3,Ni podatka,15
Bukovnik,Slovenija,500,625,0.6,0.1,0.2,2,12
Ellegglifte – Faistenoy (Oy-Mittelberg),Nemčija,937,999,1.1,0,1.1,2,15
Reckingen-Gluringen,Švica,1333,1445,1.2,0,1.2,2,29
Weissenbach (Alpinwellt),Italija,1372,1433,0.7,0,0.4,Ni podatka,24
Niedernsill,Avstrija,817,969,1,0,1,2,15
Wasen im Emmental,Švica,840,910,1,0,1,2,23
Planberg- and Wiesenlifte – Pertisau,Avstrija,946,1037,1,0,0.4,4,20
Schwannerlift – Weerberg,Avstrija,900,1000,1,0,1,2,Ni podatka
Baienberg – Reuthe,Avstrija,650,810,0.7,0.4,0,Ni podatka,Ni podatka
Siebenseelift – Wildalpen,Avstrija,670,840,1.5,0,1.5,2,Ni podatka
Pokljuka – Goreljek,Slovenija,1283,1330,1,0,1,3,Ni podatka
Krinau,Švica,820,908,0.6,0,0.4,Ni podatka,Ni podatka
Hausberglift – Waidring,Avstrija,800,900,1.5,0,1.5,2,Ni podatka
Alfaierlift – Gschnitz,Avstrija,1265,1350,0.5,0,0.3,Ni podatka,Ni podatka
Hotz – Oberweng (Spital am Pyhrn),Avstrija,839,898,1,0,1,2,17
Alpe di Neggia,Švica,1395,1595,1,0,1,2,Ni podatka
Wildstättlift – Wattenberg,Avstrija,1200,1317,0.8,0,0.8,Ni podatka,10
Neuleutasch (Leutasch),Avstrija,1200,1250,0.5,0,0.5,Ni podatka,18
Kobla – Bohinj,Slovenija,555,633,0.5,0,0.5,Ni podatka,19
Gähwil,Švica,760,905,0.8,0,0.8,Ni podatka,30
Gadmen,Švica,1205,1300,0.5,0,0.5,Ni podatka,19
Terenten (Terento),Italija,1235,1404,0.8,0,0.8,2,25
Gries (Längenfeld),Avstrija,1597,1663,0.5,0,0.5,Ni podatka,25
Mühldorf,Avstrija,620,680,0.5,0,0.5,Ni podatka,8
Bäretswil,Švica,725,835,1,0,1,3,23
Sauris di Sotto,Italija,1212,1330,0.8,0,0.8,2,44
Riesenlehen – St. Georgen am Reith,Avstrija,505,625,0.5,0,0.5,Ni podatka,14
Waldrastlift – Ehenbichl,Avstrija,850,965,0.5,0,0.5,Ni podatka,20
Raffelmoos – Elbach (Fischbachau),Nemčija,834,914,0.5,0,0.5,Ni podatka,15
Brandlwiese – Kaumberg,Avstrija,510,580,0.8,0,0.8,Ni podatka,14
Amberglift – Walchsee,Avstrija,660,750,0.5,0,0.5,Ni podatka,22.50
Schanz – Fischbach,Avstrija,1170,1250,0.6,0,0.6,Ni podatka,18
Hrastlift – Feistritz an der Gail,Avstrija,555,660,0.5,0,0.5,Ni podatka,28
Rhêmes Notre Dame,Italija,1732,1759,0.5,0,0.5,3,19
Pianeta Neve – Piamprato/Valprato Soana,Italija,1550,1638,0.8,0,0.8,2,13
Fellachlift – Virgen,Avstrija,1110,1190,0.6,0,0.6,Ni podatka,16
Sonnenberglift – Gries im Sellrain,Avstrija,1185,1275,0.6,0,0.6,Ni podatka,18.50
Langis,Švica,1450,1517,0.7,0,0.7,Ni podatka,25
Gurnigelbad,Švica,1150,1250,0.7,0,0.7,Ni podatka,30
Bündalift – Davos,Švica,1556,1714,0.6,0,0.6,Ni podatka,37
Mitteldorflift – Döllach (Großkirchheim),Avstrija,1060,1145,0.6,0,0.6,Ni podatka,12.50
Kronberg – Attergau,Avstrija,544,632,1,0,0.5,2,20
Taisten (Tesido),Italija,1227,1395,0.8,0,0.8,Ni podatka,25
Realp,Švica,1550,1660,1,0,1,2,31
Cogolo,Italija,1180,1253,0.5,0,0.5,2,55
Saas-Balen,Švica,1472,1521,0.5,0,0.5,Ni podatka,17
Schilpario,Italija,1135,1600,0.7,0,0.7,Ni podatka,22
Saualpe – Eberstein,Avstrija,1540,1650,0.9,0,0.9,Ni podatka,25
Casaccia,Švica,1550,1600,0.5,0,0.5,Ni podatka,37
Navis,Avstrija,1395,1585,0.7,0,0,Ni podatka,10
Les Chosalets,Francija,1200,1290,0.5,0,0.5,2,19
Vögelsberg (Wattens),Avstrija,870,976,0.5,0,0.5,Ni podatka,26
Stanzach,Avstrija,940,1049,1.7,0,1,3,27.50
Eichfeldlift – Turnau,Avstrija,784,850,0.5,0,0.5,Ni podatka,25
Laimerlift – St. Gilgen,Avstrija,610,663,0.6,0,0.6,Ni podatka,Ni podatka
Antermoia (San Martin de Tor),Italija,1524,1696,0.7,0,0.7,Ni podatka,Ni podatka
Moosberglift – Weißenbach am Lech,Avstrija,905,1030,0.7,0,0.7,Ni podatka,Ni podatka
Kaiserlindenlift – Gams bei Hieflau,Avstrija,530,650,0.8,0,0.8,Ni podatka,Ni podatka
Mühlegglift – Hopfgarten in Defereggen,Avstrija,1097,1155,0.5,0,0.5,Ni podatka,Ni podatka
Petersberg (Monte S. Pietro) – Nova Ponente (Deutschnofen),Italija,1350,1470,0.6,0,0.6,Ni podatka,Ni podatka
Rossbachlift – Nassereith,Avstrija,910,1030,0.5,0,0,Ni podatka,Ni podatka
Brenneralm – Breitenfurt bei Wien,Avstrija,385,475,0.8,0,0.8,Ni podatka,Ni podatka
Dellach im Drautal,Avstrija,610,650,0.5,0,0.5,Ni podatka,Ni podatka
Grünsteinlift – Schönau am Königssee,Nemčija,642,762,0.5,0,0.5,Ni podatka,Ni podatka
Nova Ponente (Deutschnofen),Italija,1402,1538,0.8,0,0.8,Ni podatka,Ni podatka
Lüsen (Luson),Italija,1070,1189,0.8,0,0.8,Ni podatka,Ni podatka
Stadtwaldlift – Rottenmann,Avstrija,788,910,0.6,0,0.6,Ni podatka,Ni podatka
Pradibosco – Prato Carnico,Italija,1135,1245,0.8,0,0.8,Ni podatka,Ni podatka
Archamps,Francija,1170,1290,0.8,0,0.8,Ni podatka,Ni podatka
Saint Nizier du Moucherotte,Francija,1161,1200,0.6,0,0.6,Ni podatka,Ni podatka
Cui Dariolo – Malesco,Italija,793,916,0.5,0,0.5,Ni podatka,Ni podatka
Kellerberg – Haldi,Švica,1238,1393,0.8,0,0.8,Ni podatka,Ni podatka
Schatzerlift – Kirchberg,Avstrija,824,878,0.7,0,0.7,Ni podatka,Ni podatka
Bachrain – Golling an der Salzach,Avstrija,845,900,0.5,0,0.5,2,Ni podatka
Galtwiesen – Wald im Pitztal,Avstrija,1187,1280,0.5,0,0.5,Ni podatka,Ni podatka
Krispl,Avstrija,919,1039,0.7,0,0.1,2,Ni podatka
Reitdorf (Flachau),Avstrija,880,945,0.5,0,0.5,Ni podatka,Ni podatka
Lantsch/Lenz,Švica,1290,1382,0.8,0,0.8,Ni podatka,Ni podatka
Waldheimhütte – Sankt Anna am Lavantegg,Avstrija,1616,1708,0.5,0,0.5,Ni podatka,Ni podatka
Dzora – Lourtier,Švica,1100,1188,0.6,0,0.6,Ni podatka,Ni podatka
Baumschlagerberg – Vorderstoder,Avstrija,829,982,0.6,0,0.6,Ni podatka,Ni podatka
Sonnenlift Axams,Avstrija,910,1000,0.5,0,0.5,Ni podatka,Ni podatka
Katschwald (Obdach),Avstrija,1200,1277,0.5,0,0.5,Ni podatka,Ni podatka
Kreuthlift – Bad Oberdorf,Nemčija,840,890,0.5,0,0.5,Ni podatka,Ni podatka
Lifinar – Partenen,Avstrija,1080,1160,0.8,0,0.8,Ni podatka,Ni podatka
Westernberg (Ruhpolding),Nemčija,670,750,0.5,0,0.5,2,21
Rudno – Železniki,Slovenija,490,571,0.5,0,0.2,2,15
Oberwangen,Švica,627,765,0.8,0,0.8,2,23
Benzeck – Blindau (Reit im Winkl),Nemčija,690,770,1,0,1,4,22
Schwoich,Avstrija,630,726,0.6,0,0.6,2,19.50
Kalte Kuchl – Innerhalbach,Avstrija,713,759,0.5,0,0.3,2,10
Kesselmannlifte – Faistenau,Avstrija,800,855,0.9,0,0.9,2,18
Logarska dolina,Slovenija,740,850,0.8,0,0.8,2,10
Sonnenlifts – Röfleuten (Pfronten),Nemčija,850,1100,0.8,0,0.3,2,20
Annerlbauer – Krieglach,Avstrija,870,926,0.5,0,0.5,2,26
Kirchberglifte – Kreuth,Nemčija,780,890,1,0,1,4,12
Am Ried – Farchant,Nemčija,670,772,0.6,0,0.6,Ni podatka,17
Auf der Rieder – Eschenlohe,Nemčija,650,700,1,0.3,0.5,Ni podatka,Ni podatka
Kanterlift – Kartitsch,Avstrija,1322,1419,0.4,0,0.4,Ni podatka,41
Bungerloch – Tarrenz,Avstrija,850,950,0.3,0,0,Ni podatka,9
Tannerfeld – Bayrischzell,Nemčija,797,815,0.3,0,0.3,Ni podatka,12
Oberzeiring (Pölstal),Avstrija,932,980,0.4,0,0.4,Ni podatka,21
La Magdeleine,Italija,1667,1697,0.3,0,0.3,3,10
Hütten – Bizau,Avstrija,742,766,0.3,0,0.3,Ni podatka,6
Oberhelfenschwil,Švica,798,866,0.4,0,0.4,Ni podatka,23
Schwäbeleholzlift – Sonthofen,Nemčija,740,820,0.3,0,0.3,Ni podatka,9
Hampy – Adelboden,Švica,1289,1351,0.3,0,0.3,Ni podatka,28
Ochsengarten – Paternion,Avstrija,582,595,0.3,0,0.3,2,13
Kienleitenlift – Brandenberg,Avstrija,916,982,0.4,0,0.4,Ni podatka,12
Hubelweid – Heiligenschwendi,Švica,1102,1152,0.3,0,0.3,Ni podatka,21
Schnabelsberg – Bennau (Einsiedeln),Švica,950,1020,0.3,0,0.3,Ni podatka,18
Pragelato,Italija,1532,1584,0.3,0,0.3,Ni podatka,15
Happylift – Semmering,Avstrija,1010,1070,0.3,0,0.3,Ni podatka,26
Feichten,Avstrija,1275,1310,0.3,0,0.3,Ni podatka,19
Böglerlift – Alpbach,Avstrija,985,1040,0.3,0,0.3,Ni podatka,68.50
Provi-Snowpark – Proveis,Italija,1415,1430,0.1,0,0.1,Ni podatka,9
Balme di Lanzo,Italija,1452,1512,0.3,0,0.3,Ni podatka,5
Hinterfeld – Mösern (Telfs),Avstrija,1235,1265,0.2,0,0.2,Ni podatka,28.50
Pfannilift – Neuhaus (Schliersee),Nemčija,840,882,0.3,0,0.3,Ni podatka,10
Beckenhalde – St. Gallen,Švica,764,854,0.4,0,0.4,Ni podatka,20
Les Prévondes,Švica,987,1090,0.4,0,0.4,Ni podatka,11
St. Oyen Flassin,Italija,1374,1398,0.2,0,0.2,2,15
Hörnli – Hemberg-Bächli,Švica,890,970,0.4,0,0.4,Ni podatka,27
Sternenberg – Schatzböl,Švica,838,884,0.3,0,0.3,Ni podatka,11
Telli – Morschach,Švica,640,676,0.3,0,0.3,2,15
Wimmerlifte – Purgstall bei Eggersdorf,Avstrija,450,500,0.4,0,0.4,2,22
Floitenlift – Ginzling,Avstrija,990,1020,0.2,0,0.2,Ni podatka,9
Winterwichtelland Sillian,Avstrija,1093,1101,0.1,0,0.1,Ni podatka,5
Langmattli – Hergiswil,Švica,838,946,0.4,0,0.4,Ni podatka,13
Zenitzen – Winklern,Avstrija,924,980,0.4,0,0.4,Ni podatka,12.50
Notre-Dame-de-Vaulx,Francija,1030,1085,0.3,0,0,Ni podatka,2.50
Krößbach,Avstrija,1102,1168,0.4,0,0.4,Ni podatka,25
Wilern (Binn),Švica,1427,1542,0.4,0,0.4,Ni podatka,11
Schnee-Erlebnisland Flattach,Avstrija,715,775,0.2,0,0.2,Ni podatka,15
Alpe Cainallo – Esino Lario,Italija,1245,1332,nan,nan,nan,2,10
Stockerfeldlift Mößna – St. Nikolai im Sölktal (Sölk),Avstrija,1001,1096,0.4,0,0.4,Ni podatka,Ni podatka
Dollwiese – Vienna,Avstrija,320,350,0.2,0,0.2,Ni podatka,Ni podatka
Walchlift – Oberpiller,Avstrija,1370,1404,0.3,0,0.3,Ni podatka,Ni podatka
Schöder,Avstrija,892,955,0.4,0,0.4,Ni podatka,Ni podatka
Kelchsau,Avstrija,775,780,0.1,0,0.1,Ni podatka,Ni podatka
Holzeis-Bichl – Obermieming,Avstrija,870,883,0.1,0,0.1,Ni podatka,Ni podatka
Hochgallmigg,Avstrija,1365,1480,0.4,0,0,Ni podatka,Ni podatka
Belmonte – Treschè Conca,Italija,1055,1070,0.1,0,0.1,Ni podatka,Ni podatka
Bedea – Novaggio,Švica,625,690,0.3,0,0.3,Ni podatka,Ni podatka
Winterpark Neustift,Avstrija,991,995,0.1,0,0.1,Ni podatka,Ni podatka
Hohe Wand Wiese – Vienna (dry slopes),Avstrija,254,260,0.1,0,0.1,2,Ni podatka
Markt Piesting,Avstrija,347,363,0.1,0,0.1,Ni podatka,Ni podatka
Lochwiesen – Tiefenbach,Nemčija,849,894,0.3,0,0.3,Ni podatka,Ni podatka
Flirsch,Avstrija,1157,1216,0.3,0,0,Ni podatka,Ni podatka
Kufstein,Avstrija,521,531,0.1,0,0.1,Ni podatka,Ni podatka
Stadlhof – Falkenstein,Avstrija,876,920,0.3,0,0.3,Ni podatka,Ni podatka
Gaisrückleiten – Wiesen,Avstrija,340,380,0.3,0,0.3,Ni podatka,Ni podatka
Lainach (Rangersdorf),Avstrija,870,950,0.3,0,0.3,Ni podatka,Ni podatka
Haut-de-Caux,Švica,1156,1166,0.1,0,0.1,Ni podatka,Ni podatka
Rettenegg,Avstrija,870,900,0.3,0,0.3,Ni podatka,Ni podatka
Ausserschwand,Švica,1341,1392,0.2,0,0.2,Ni podatka,Ni podatka
Sonnenberglift – Milders,Avstrija,1037,1149,0.4,0,0,Ni podatka,Ni podatka
Rodel Jet – Flachau,Avstrija,901,943,0.3,0,0.3,Ni podatka,Ni podatka
Bruggen (Greifenburg),Avstrija,590,660,0.3,0,0.3,Ni podatka,Ni podatka
